image,category,gt_ratio_short,gt_ratio_mid,boxer_W_mm,boxer_D_mm,boxer_H_mm,boxer_ratio_short,boxer_ratio_mid,boxer_conf,boxer_ARE,rule_type,rule_W_mm,rule_D_mm,rule_H_mm,rule_ratio_short,rule_ratio_mid,rule_ARE,boxer_ms
0045.png,table,0.3814,0.6610,802,360,454,0.4485,0.5656,0.566,0.0542,,1200,700,800,0.5833,0.6667,0.0692,147.7
0047.png,table,0.8182,1.0000,1273,611,689,0.4798,0.5408,0.294,0.2659,,1200,700,800,0.5833,0.6667,0.1894,146.0
0048.png,table,0.3814,0.6610,1198,457,1009,0.3813,0.8423,0.378,0.0605,,1200,700,800,0.5833,0.6667,0.0692,148.8
0049.png,table,0.8182,1.0000,887,419,604,0.4727,0.6814,0.340,0.2213,,1200,700,800,0.5833,0.6667,0.1894,145.0
0050.png,table,0.3814,0.6610,558,345,540,0.6189,0.9673,0.668,0.1813,,1200,700,800,0.5833,0.6667,0.0692,147.9
0052.png,table,0.8182,1.0000,1255,702,723,0.5591,0.5760,0.347,0.2277,,1200,700,800,0.5833,0.6667,0.1894,145.5
0053.png,table,0.5000,0.6111,523,394,462,0.7543,0.8834,0.707,0.1755,,1200,700,800,0.5833,0.6667,0.0463,150.3
0054.png,table,0.5000,0.6111,631,447,547,0.7091,0.8672,0.770,0.1551,,1200,700,800,0.5833,0.6667,0.0463,149.0
0055.png,table,0.2835,0.6186,730,423,478,0.5802,0.6547,0.555,0.1110,,1200,700,800,0.5833,0.6667,0.1160,147.8
0056.png,table,0.9488,1.0000,589,335,510,0.5679,0.8645,0.564,0.1721,,1200,700,800,0.5833,0.6667,0.2329,151.3
0001.jpg,wardrobe,0.2889,0.4512,1856,558,917,0.3008,0.4940,0.422,0.0182,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,148.8
0002.jpg,wardrobe,0.2889,0.4512,2012,505,927,0.2512,0.4609,0.478,0.0158,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,146.6
0003.jpg,wardrobe,0.2889,0.4512,2005,430,1003,0.2145,0.5002,0.561,0.0411,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,149.8
0004.jpg,wardrobe,0.2889,0.4512,935,460,492,0.4927,0.5268,0.386,0.0931,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,144.5
0006.jpg,wardrobe,0.2889,0.4512,2133,381,891,0.1784,0.4180,0.521,0.0479,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,148.2
0007.jpg,wardrobe,0.2889,0.4512,2040,488,1112,0.2391,0.5451,0.564,0.0479,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,148.6
0008.jpg,wardrobe,0.2889,0.4512,1645,536,1315,0.3259,0.7991,0.460,0.1283,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,150.0
0009.jpg,wardrobe,0.2889,0.4512,1997,816,1923,0.4086,0.9628,0.203,0.2104,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,150.0
0010.jpg,wardrobe,0.2889,0.4512,1581,561,1028,0.3548,0.6505,0.262,0.0884,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,147.1
0011.jpg,wardrobe,0.2889,0.4512,1540,365,749,0.2370,0.4866,0.569,0.0291,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,148.0
0012.jpg,wardrobe,0.2889,0.4512,1776,609,1142,0.3430,0.6428,0.753,0.0819,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,153.4
0013.jpg,wardrobe,0.2889,0.4512,781,411,725,0.5260,0.9291,0.363,0.2383,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,147.9
0014.jpg,wardrobe,0.2889,0.4512,1822,540,893,0.2962,0.4900,0.521,0.0153,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,147.7
0015.jpg,wardrobe,0.2889,0.4512,2365,576,1054,0.2437,0.4456,0.364,0.0169,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,147.4
0016.jpg,wardrobe,0.2889,0.4512,802,432,721,0.5392,0.8995,0.420,0.2329,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,151.0
0018.jpg,wardrobe,0.2889,0.4512,1845,534,549,0.2892,0.2978,0.237,0.0513,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,148.6
0020.jpg,wardrobe,0.2889,0.4512,2059,639,688,0.3104,0.3343,0.426,0.0461,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,147.9
0022.jpg,wardrobe,0.2889,0.4512,2059,396,894,0.1921,0.4345,0.661,0.0379,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,147.4
0023.jpg,wardrobe,0.2889,0.4512,1820,461,1158,0.2535,0.6364,0.621,0.0735,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,151.7
0024.jpg,wardrobe,0.2889,0.4512,1642,610,1169,0.3713,0.7118,0.552,0.1144,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,153.2
0025.jpg,wardrobe,0.2889,0.4512,908,367,688,0.4040,0.7569,0.700,0.1402,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,150.6
0026.jpg,wardrobe,0.2889,0.4512,2669,256,2371,0.0958,0.8885,0.306,0.2101,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,148.1
0027.jpg,wardrobe,0.2889,0.4512,1621,831,858,0.5126,0.5296,0.358,0.1007,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,148.4
0028.jpg,wardrobe,0.2889,0.4512,1374,527,1202,0.3832,0.8745,0.437,0.1725,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,149.5
0029.jpg,wardrobe,0.2889,0.4512,2262,628,651,0.2775,0.2879,0.638,0.0583,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,151.5
0030.jpg,wardrobe,0.2889,0.4512,2028,395,986,0.1946,0.4863,0.580,0.0431,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,147.7
0031.jpg,wardrobe,0.2889,0.4512,607,225,403,0.3708,0.6636,0.504,0.0981,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,147.4
0032.jpg,wardrobe,0.2889,0.4512,1228,583,878,0.4753,0.7151,0.265,0.1501,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,146.1
0033.jpg,wardrobe,0.2889,0.4512,1896,578,1036,0.3046,0.5463,0.557,0.0369,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,152.5
0035.jpg,wardrobe,0.2889,0.4512,1186,403,634,0.3393,0.5347,0.420,0.0446,MOVABLE_WARDROBE,1900,600,900,0.3158,0.4737,0.0164,147.7
